P21187	Q9VI64
Q9VI64	Q8MSX2
Q9VU18	Q9VRY6
Q9VN45	Q9VRY6
Q9VZU7	Q9VRY6
Q9V3G9	Q9VRY6
Q9VMZ5	Q9VRY6
Q94511	Q9VRY6
Q9VQS0	Q9VRY6
Q9VYG2	Q9VRY6
Q960H6	Q9VRY6
Q9VRY6	Q960H6
Q8I0P1	Q9VRY6
Q8I0N3	Q9VRY6
Q9VRY6	Q9Y162
Q7JZW2	Q9VRY6
P62152	Q9VRY6
Q8SX59	Q9VRY6
Q7JVH6	Q9VRY6
A1Z9Q9	Q9VME1
Q7KJ73	Q0KHR4
Q7KJ73	A1Z7J1
Q27934	Q9VI55
Q27934	Q95RR8
Q27934	Q5BI51
Q8T6B9	Q27934
P02828	Q27934
Q27934	Q8T3Y0
Q8SWU7	Q27934
Q27934	Q9W510
Q27934	Q9VGU7
P29310-2	Q27934
Q27934	Q9W3J9
Q27934	Q9W325
P84051	Q27934
P22769	Q27934
Q27934	Q8SWW7
Q27934	Q9W403
Q27934	Q9W1A4
P08120	Q27934
Q27934	Q8T092
Q27934	EBI-197069
Q27934	O18335
Q9VK57	Q27934
Q27934	Q9VCE6
Q27934	Q9VM11
Q27934	Q04688
Q9VT32	Q27934
Q06559	Q27934
Q27934	Q8INH9
Q27934	Q9VW57
Q27934	Q9VHA9
Q27934	Q9VS50
Q24560	Q27934
Q7JXA2	Q24152
Q7JXA2	Q9VPF9
EBI-84573	Q7JZW0
Q7JZW0	Q9VVY2
P49415	P18459-2
Q9W5A9	P18459-2
A0A0B4K7S6	P18459-2
Q9VGY3	P18459-2
Q9VDH8	P18459-2
Q9VR99	P18459-2
Q7K180	P18459-2
P18459-2	Q9W418
Q9W3Z4	P18459-2
Q9VPY2	P18459-2
Q9VBQ5	P18459-2
Q23972	P18459-2
Q24141	P18459-2
Q9VVL6	P18459-2
Q9VTH5	P18459-2
Q9V466	P18459-2
Q9VWQ2	P18459-2
Q9VW52	P18459-2
Q9VAF3	P18459-2
P05084	P18459-2
Q03427	Q9VJ29
Q9VG31	Q9W191
Q9VG31	Q9VI39
Q9VG31	P15330-2
P91875	Q9VVU4
Q9VRX6	Q9W4B3
Q7JUY7	Q9VG23
P17886	Q9VG23
P26686	P19018-2
P49762-2	P19018-2
P19018-2	Q02427-1
Q8IRH5	P19018-2
P19018-2	Q8IQB8
Q7JZN0	P15330-2
Q9VK56	Q9VIU8
Q9VU77	P00528
Q9VIU5	EBI-161433
Q9VKK9	Q9W2A5
Q7K5M2	Q7K5M2
Q9W1Q8	Q7K5M2
Q7K5M2	Q95TJ9
Q0E8F8	Q7K5M2
Q7K5M2	Q7K2L7
P48598-1	Q7K5M2
P54623	Q7K5M2
Q9VTR6	Q7K5M2
Q7K5M2	Q9VG55
P00528	Q7K5M2
Q7K5M2	P07665
Q8T3U2	Q7K5M2
Q24560	Q7K5M2
Q9V9P1	Q9W0F0
Q7K157	Q9W0F0
Q9W1H5	Q9VRX2
Q7JY80	P45890
P45884	Q9VCH1
Q8T965	P45884
Q9VJD4	P45884
Q9VPY2	P45884
A1ZA28	P45884
P45884	Q9VRX7
P45884	Q9V345
Q7JZJ3	P45884
Q9VF15	P45884
Q9VRX0	Q961D1
Q9VRX0	Q9W1G1
Q9VRX0	P35415
Q9VRX0	Q9Y091
Q9VRX0	Q9VC66
Q7KLV9	Q9VG03
Q9VRX0	A1ZBJ8
Q7KLV9	Q9VWD1
Q7KLV9	Q7K4X4
Q7KLV9	Q01644
Q7KLV9	Q9V345
Q9VQA2	Q0E976
Q9V449	Q7K2Q8
Q9VUZ1	Q7K2Q8
Q9W5W8	Q7K2Q8
Q9V415	Q9VU72
M9PBE2	Q9VU72
P13008	Q9VU72
Q9VNV0	Q9VU72
Q9VU72	Q9I7T7
Q9VU72	Q9VAW8
Q9VU72	Q9VN93-2
Q7Z2C5	Q9VU72
EBI-172473	Q9VU72
Q9VPJ6	Q9VU72
Q9VU72	Q4QQA7
Q9W4B3	Q9VU72
P31409	Q9VU72
Q9VU72	EBI-155190
P20482	Q9VU72
P08266	Q9VU72
P11450	Q9VU72
P06002	Q9VU72
O16797-1	Q9VU72
Q94920	Q9VU72
Q9VUH9	Q9VU72
Q9XTN4	Q9VU72
P23654	Q9VU72
Q7K0G4	Q7K3Q3
Q7K0G4	Q24239
Q9VBA8	Q7K0G4
Q7K0G4	Q9W4V8
Q7K0G4	Q9VIJ0
Q9VG84	Q9VCK1
Q9VAE7	Q9VCK1
Q9VCK1	Q9VXF4
A1ZBC3	Q9VM65
Q9W5R5	Q9VM65
P13395	Q9VM65
Q7JUF8	Q9VM65
Q9VM65	O96860
Q9VG59	Q9VM65
Q24117	Q9VM65
Q7JN06	Q7JN06
Q7JN06	Q9VN89
Q9VN89	Q7JN06
Q9VJ22	Q7JN06
A9UN61	Q7JN06
Q7JN06	EBI-130134
Q9VKN9	Q7JN06
Q7JN06	F0JAI6
Q7JN06	P52295
Q7JN06	EBI-90944
Q9VJM1	Q7JN06
Q7JN06	Q7JXC4
Q7JN06	Q5U156
A1Z7M0	Q7JN06
Q9W5X1	Q7JN06
Q27889	Q7JN06
Q95028	Q9VM98
Q95028	EBI-114481
Q95028	Q8SY46
Q95028	Q9W221
Q9VUW2	Q95028
Q95028	Q9VEF0
Q9VCK0	Q9Y0Y7
Q9VCK0	Q7K0L7
Q9VHV5	Q9VRW5
Q9VCL2	Q24320
Q9V3G9	Q9VCL2
Q8IRY0	Q9VCL2
Q9VCL2	Q8WTI8
Q9VQA2	Q9VCL2
Q9VEZ3	Q9VCL2
Q9VCL2	Q9V3Z1
Q9VCL2	P52654
Q9VSL4	Q9VCL2
Q7K161	Q9VCL2
Q9VG07	Q9VCL2
Q9VCL2	Q9VHG0
Q9VCL2	Q9VIJ0
Q9VCL2	Q9V468
Q9VCL2	Q9VHM3
Q24090	Q9W062
Q9VZJ3	Q9W062
Q7JUY8	Q9W062
Q9I7J2	Q9W062
Q9V3G9	Q9W062
Q7K304	Q9W062
Q7JVL3	Q9W062
Q24141	Q9W062
Q9VK57	Q9W062
Q0E9B7	Q9W062
Q9VZL3	Q9VRW4
Q9W1H7	Q9VRW4
Q9W1C9	Q9VRW4
Q9VAF2	Q9VRW4
Q8MLN2	Q9VRW4
Q9VUA0	Q9VRW4
Q9W3D5	Q9VJ85
Q9VHA0	Q9VJ85
Q9VCL6	P45890
Q9VBY7	Q9VJ83
P40945	Q9VCL7
Q9W083	Q00748
Q9V3G9	Q00748
Q9VWD9	Q00748
Q9VFU2	Q00748
A1Z7J1	Q00748
G4LU05	Q00748
Q9VTW3	Q00748
Q0E9B6	Q00748
Q9VIV0	Q9W2E3
Q9VIV3	Q9VM74
Q9VIV3	A1Z6J6
Q9VJ37	Q24400
Q9VIP0	Q24400
Q9VMB9	Q24400
Q9VNP8	Q24400
Q9VYA4	Q24400
Q24400	Q9W2A3
Q9VCR3	Q24400
Q7PLP5	Q24400
Q24400	Q8T3Y1
Q961E7	Q24400
Q9W3K6	Q24400
Q9VIE3	Q24400
Q24400	Q7KTA1
Q9VVB5	Q24400
Q7KUB3	Q24400
Q24400	Q24216
P52034	Q24400
Q960H6	Q24400
P29052	Q24400
Q9VL21	Q24400
Q24400	Q9VCZ4
Q95RQ1	Q24400
Q8INR0	Q24400
Q9VJU5	Q24400
Q9VH90	Q24400
Q9W5X1	Q24400
Q9VV11	Q9VCH1
A1Z8Z8	Q9VCH1
A1ZBV0	Q9VCH1
Q9W219	Q9VCH1
Q9VD17	Q9VCH1
O16011-3	Q9VCH1
Q9VCH1	Q9VBI1
Q9VNX3	Q9VCH1
Q9VZI1	Q9VCH1
Q7K485	Q9VCH1
Q9W5Y4	Q9VCH1
O77259	Q9VCH1
P27619-2	Q9VCH1
Q9VYM8	Q9VCH1
Q9VPI4	Q9VCH1
Q9VCH1	P20439
Q9W140	Q9VCH1
Q9W106	Q9VCH1
Q95T37	Q9VCH1
Q9VVT8	Q9VCH1
Q9V3S0	Q9VCH1
Q95RS6	Q9VCH1
Q9VV44	Q9VCH1
Q9VV38	Q9VCH1
P48588	Q9VCH1
Q8IQV7	Q9VCH1
Q9VS81	Q9VCH1
Q8T3W6	Q9VCH1
Q9VVE2	Q9VCH1
P52029	Q9VCH1
Q9V3U6	Q9VCH1
Q9VIV9	Q9VKS2
Q9VLZ1	Q9VIV9
Q9VRM7	Q9VCH5
Q9VCH5	Q9VYG2
A1Z971	Q8SY73
Q8SY73	A1Z9I0
Q9VM69	Q9VRS0
Q9VM69	Q9VPR6
Q9VM69	Q9VTE0
Q9VM69	Q9W3X2
O76863	Q9VM69
Q9VM69	Q9W1Z1
Q7JZR4	Q9W2H9
Q9VCH7	P19339-3
Q9VVI1	Q9VCH7
Q7K3Q3	Q7KMG7
Q7K3Q3	Q7K3Q3
Q9VJ22	Q7K3Q3
Q7K3Q3	Q9VRI3
Q7K3Q3	Q7JRJ1
EBI-172712	Q7K3Q3
Q7K3Q3	Q95TJ9
Q7K3Q3	Q9VFV6
Q7K3Q3	Q9VJB0
Q7K3Q3	P08182
Q9VR93	Q7K3Q3
Q7K3Q3	Q9VAC7
Q7K3Q3	Q9VUB0
Q7K3Q3	A1ZB57
Q7K3Q3	Q9VYV9
Q7K3Q3	Q7K3U4
Q7K3Q3	Q868Z9
Q7K3Q3	P40688
Q9VJD8	Q7K3Q3
Q9VUB1	Q7K3Q3
Q9VI21	Q9VJ01
Q9VJ80	P09081-3
Q9VJ80	Q9VBZ2
Q9VJ80	Q9W4B3
Q7KK96	Q8SZ63
Q7KK96	Q9VSY8
Q9VCI0	Q7K2B1
Q9VYA4	Q7KMG7
Q9VR24	Q7KMG7
Q7KMG7	P48603
Q9W4I4	Q7KMG7
Q8IQQ4	Q7KMG7
Q24087	Q7KMG7
Q9VKW2	Q7KMG7
P23572	Q7KMG7
Q7KMG7	P28518
A1Z7G6	Q7KMG7
Q9VCI4	Q9VC50
Q9V9Q4	Q9VCI5
Q9VYD7	Q9VCI5
Q9VCI5	Q9VTR2
P07186	Q9VCI5
Q9VGW7	Q9VCI5
Q7KLX3	Q9VCI5
