ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:Q62910	uniprotkb:Q99963	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P43254	uniprotkb:Q8W191-1	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.45
uniprotkb:P43254	uniprotkb:Q8W191-1	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.45
uniprotkb:O24646	uniprotkb:Q8W191	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q9LT47	uniprotkb:P93831	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.73
uniprotkb:P92958	uniprotkb:Q9FEB5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:O54960	uniprotkb:Q63537	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.44
uniprotkb:O70441	uniprotkb:O54960	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.44
uniprotkb:O54960	uniprotkb:P09951	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.54
uniprotkb:Q9LZW4	uniprotkb:Q8LAS7	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.83
uniprotkb:Q7Y1C5	uniprotkb:P94102	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.74
uniprotkb:Q7Y1C4	uniprotkb:P94102	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q7Y1C5	uniprotkb:Q39009	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q7Y1C4	uniprotkb:Q39009	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:P94102	uniprotkb:P94102	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q39009	uniprotkb:P94102	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.59
uniprotkb:Q39009	uniprotkb:Q39009	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q39009	uniprotkb:P94102	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.59
uniprotkb:P94102	uniprotkb:Q7Y1C5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.74
uniprotkb:Q39009	uniprotkb:Q7Y1C5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q39009	uniprotkb:Q7Y1C4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q7Y1C4	uniprotkb:P94102	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q9JLH6	uniprotkb:Q28199	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.48
uniprotkb:Q9JLH5	uniprotkb:Q28199	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.48
uniprotkb:Q9JLH7	uniprotkb:Q28199	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.48
uniprotkb:Q9SHZ6	uniprotkb:Q9LES2	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9SHZ6	uniprotkb:Q9SHZ6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q9SHZ6	uniprotkb:Q9SYG4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q9SHZ6	uniprotkb:Q9LQI9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9SHZ6	uniprotkb:Q9LJH8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9LES2	uniprotkb:Q9SYG4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
