ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:Q84JL3	uniprotkb:Q84JG6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JH2	uniprotkb:Q8VZS6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JH7	uniprotkb:Q9M000	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q84JI2	uniprotkb:Q84JI2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8GXL7	uniprotkb:Q84JI2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JI2	uniprotkb:Q8RXD6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JI2	uniprotkb:Q9C9L2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JI2	uniprotkb:Q9LT23	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JI2	uniprotkb:Q9S7W5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8S3N1	uniprotkb:Q84JL3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q94A79	uniprotkb:Q84JL3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SYG2	uniprotkb:Q84JL3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JM4	uniprotkb:Q38822	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FGW7	uniprotkb:Q84JM4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JM4	uniprotkb:Q9SK03	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JM4	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q6NQ63	uniprotkb:Q84JR3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q94BT0	uniprotkb:Q84JR3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O82240	uniprotkb:Q84JS5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JY3	uniprotkb:O82239	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8GTS1	uniprotkb:Q84JY3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8GXD8	uniprotkb:Q84JY3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L7G9	uniprotkb:Q84JY3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q94AI7	uniprotkb:Q84JY3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JY3	uniprotkb:Q9M2Y9	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JY3	uniprotkb:Q9S7W5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SK03	uniprotkb:Q84JY3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JY3	uniprotkb:Q9STS3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JZ6	uniprotkb:Q9LKL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JZ6	uniprotkb:Q9SCK1	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JZ6	uniprotkb:Q9STS3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O22788	uniprotkb:Q84JZ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JZ7	uniprotkb:P29525	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JZ7	uniprotkb:Q08A69	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q39165	uniprotkb:Q84JZ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q494N8	uniprotkb:Q84JZ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JZ7	uniprotkb:Q84JZ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JZ7	uniprotkb:Q8RXP3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FYF7	uniprotkb:Q84JZ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SS98	uniprotkb:Q84JZ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K05	uniprotkb:O22179	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K05	uniprotkb:O65573	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K05	uniprotkb:Q6NQ80	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9LII8	uniprotkb:Q84K05	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K05	uniprotkb:Q84JI2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K05	uniprotkb:Q84K72	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L732	uniprotkb:Q84K05	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8VWI0	uniprotkb:Q84K05	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K05	uniprotkb:Q93ZM2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q94BX2	uniprotkb:Q84K05	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:F4JRR1	uniprotkb:Q84K05	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FIR9	uniprotkb:Q84K05	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K05	uniprotkb:Q9STS3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9ZSZ8	uniprotkb:Q84K05	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K25	uniprotkb:A2RVV7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K25	uniprotkb:O22768	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8LGS1	uniprotkb:Q84K25	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q93Y00	uniprotkb:Q84K25	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K41	uniprotkb:Q9SYG2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K50	uniprotkb:Q6NMI4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8RXM5	uniprotkb:Q84K71	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84K71	uniprotkb:F4JN35	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q94F58	uniprotkb:Q84K71	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84JL3	uniprotkb:Q84L30	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84L31	uniprotkb:Q9MAL9	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84L31	uniprotkb:Q9SIV2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q96331	uniprotkb:Q84M24	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84M90	uniprotkb:P35510	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FHW7	uniprotkb:Q84M94	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MC3	uniprotkb:Q8VZW1	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MC9	uniprotkb:Q84JZ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MC9	uniprotkb:Q8GXA4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MC9	uniprotkb:Q8VZ95	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MC9	uniprotkb:Q8VZW1	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MC9	uniprotkb:F4JN35	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MC9	uniprotkb:Q94F58	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FZK5	uniprotkb:Q84MC9	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MD1	uniprotkb:Q949M9	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84MD6	uniprotkb:Q17TI5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q84ME1	uniprotkb:P35131	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84ME1	uniprotkb:Q67ZB3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FWT2	uniprotkb:Q84ME1	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84ME1	uniprotkb:Q9LHG1	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84R27	uniprotkb:Q9FTA2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8VWK4	uniprotkb:Q84TD4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TD8	uniprotkb:Q84MB2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L7G9	uniprotkb:Q84TD8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TD8	uniprotkb:Q8L7T4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TD8	uniprotkb:Q9FGF3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TD8	uniprotkb:Q9FYE4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TD8	uniprotkb:Q9LKL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9LVI4	uniprotkb:Q84TD8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TD8	uniprotkb:Q9SK03	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TD8	uniprotkb:Q9SN78	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TE7	uniprotkb:Q94F58	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TE8	uniprotkb:Q9XHZ3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF1	uniprotkb:O64903	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O22241	uniprotkb:Q84TF2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q6X7J4	uniprotkb:Q84TF2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF2	uniprotkb:Q9LII8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF2	uniprotkb:Q8L611	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L7G9	uniprotkb:Q84TF2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8RXD6	uniprotkb:Q84TF2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF2	uniprotkb:O81851	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF2	uniprotkb:Q96319	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q96331	uniprotkb:Q84TF2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF2	uniprotkb:Q9FNJ8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF2	uniprotkb:Q9LU63	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF2	uniprotkb:Q9M2U8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SQX9	uniprotkb:Q84TF2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8LAZ7	uniprotkb:Q84TF7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF7	uniprotkb:Q8LGC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q94JX9	uniprotkb:Q84TF7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TF7	uniprotkb:Q9LHG9	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SZY1	uniprotkb:Q84TF7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TG3	uniprotkb:Q96331	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8GUN2	uniprotkb:Q84TI6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TI6	uniprotkb:Q9LT89	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84TK3	uniprotkb:Q8LAZ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O23188	uniprotkb:Q84VW0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FJF5	uniprotkb:Q84VW0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84VX3	uniprotkb:Q84MB2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.53
uniprotkb:Q8GYX3	uniprotkb:Q84VX3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8RXD6	uniprotkb:Q84VX3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8RY08	uniprotkb:Q84VX3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q96331	uniprotkb:Q84VX3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9LHF8	uniprotkb:Q84W01	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q96331	uniprotkb:Q84W03	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q0WV96	uniprotkb:Q84W04	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84W04	uniprotkb:Q8VZ95	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.53
uniprotkb:Q84W04	uniprotkb:Q8VZW1	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84W04	uniprotkb:Q94F58	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FZK5	uniprotkb:Q84W04	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84W04	uniprotkb:Q9LMQ8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84W04	uniprotkb:Q9LNJ7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84W04	uniprotkb:Q9ZVD2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84W09	uniprotkb:O65573	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8RXD7	uniprotkb:Q84W09	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:F4IK01	uniprotkb:Q84W09	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84W92	uniprotkb:Q9LUV4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WI4	uniprotkb:O04326	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:F4JN35	uniprotkb:Q84WI4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WI4	uniprotkb:Q9SS37	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WJ9	uniprotkb:O82734	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WJ9	uniprotkb:Q9M9W3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84VW0	uniprotkb:Q84WK1	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WL0	uniprotkb:Q9MAL9	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:F4KEV7	uniprotkb:F4KEV7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q93WJ9	uniprotkb:Q84WQ5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WQ5	uniprotkb:Q93ZM2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WV5	uniprotkb:O82240	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WV5	uniprotkb:Q9FIR9	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WV5	uniprotkb:Q9M2E8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WV5	uniprotkb:Q9SZZ4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WV6	uniprotkb:Q84K25	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8RY08	uniprotkb:Q84WV6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SQX9	uniprotkb:Q84WV6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84WW6	uniprotkb:Q9FVU9	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84XU2	uniprotkb:Q9LE38	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84Y95	uniprotkb:Q94CE4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84Y95	uniprotkb:Q9FIC3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84Y95	uniprotkb:Q9S7W5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q84Y95	uniprotkb:Q9SVM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O22179	uniprotkb:Q852U6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O22229	uniprotkb:Q852U6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:P46639	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q17TI5	uniprotkb:Q852U6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q852U6	uniprotkb:Q6NMI4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:Q6NQ63	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:Q6X7J4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8GWR3	uniprotkb:Q852U6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:Q8GYX3	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8GZ06	uniprotkb:Q852U6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:Q0WLB5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L7G9	uniprotkb:Q852U6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8RWF8	uniprotkb:Q852U6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:Q8VZE5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:Q8W5R5	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q93XX2	uniprotkb:Q852U6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:Q944H1	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q852U6	uniprotkb:Q94AF0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.37
